Image,Location name,ratings,comments,ratings(# reviews),location type
https://lh5.googleusercontent.com/p/AF1QipPbIwlij_ZlkCTa28nAA0IWgmqYxEjtxwPZ5FGY=w122-h92-k-no,Woodlands Jetty,4.5,Running (O),4.5(211),Fishing pier 
https://lh5.googleusercontent.com/p/AF1QipO9HXQo_YDYhEjGMZvz7NnB8W1LOYEbLoLeIJPc=w122-h92-k-no,Mandai Tekong Park,4.3,Running (O),4.3(512),Park 
https://lh5.googleusercontent.com/p/AF1QipNnFaFDZ-GlVAkGn5yLmt5lVyGrx_s9ZRPwfgU2=w162-h92-k-no,Woodlands Admiral Garden,4.4,Running (O),4.4(58),Park 
https://lh5.googleusercontent.com/p/AF1QipOb02vSRkJ_rOMqEIyr0ilE-n9ZtSVNNW7HdcGU=w163-h92-k-no,Woodlands Crescent Park,4.2,Running (O),4.2(227),Park 
https://lh5.googleusercontent.com/p/AF1QipOcFhyBxiFzDYDgKg_vXRDwa4NhbTPe2sEz2ko2=w80-h106-k-no,Woodlands Park Connector (Ave 12),4.6,Running (O),4.6(5),Hiking area 
https://lh5.googleusercontent.com/p/AF1QipPjxzHxc1L8fuFmljUpBoZDWpCcgV1Vp2jN0KLF=w122-h92-k-no,Marsiling Park,4.1,Running (O),"4.1(1,735)",Park 
https://lh5.googleusercontent.com/p/AF1QipMdgpLmNSkohZ0JISGtehJgfY0Qe75IPZlGMyi_=w122-h92-k-no,Woodlands Park Connector (SLE),4.7,Running (O),4.7(9),Hiking area 
https://lh5.googleusercontent.com/p/AF1QipMNc8riIsYBq-aEtNUoOzNmObsb3PDARR2-bV-X=w122-h92-k-no,Woodlands Waterfront Park,4.5,Running (O),"4.5(3,487)",Park 
https://lh5.googleusercontent.com/p/AF1QipMVNz0h2zETQl7U5WlsBA5RZQM7Z6NbjSwNu0zK=w163-h92-k-no,Woodlands Town Park East,4.3,Running (O),4.3(333),Park 
https://lh5.googleusercontent.com/p/AF1QipN4qvBI6L1Tu8K-d6oIpGCgsw7KYcQsKoyVkSQE=w189-h92-k-no,Woodlands (Ave 7) Park Connector,4.4,Running (O),4.4(26),Park 
https://lh5.googleusercontent.com/p/AF1QipO3sgHjchohkHvcTpFLqADeHAleoJAMPb4KWHAy=w231-h92-k-no,Woodlands Swimming Complex,4.1,"Swimming (O)
Paid",4.1(135),Public swimming pool 
https://lh5.googleusercontent.com/p/AF1QipNfE_mnmvHXWzeBBDMsc2i2kw_rc7ISmQ5TZVtj=w138-h92-k-no,Woodlands Stadium - ActiveSG,4.3,"Football
Running 
Paid",4.3(549),Stadium 
https://lh5.googleusercontent.com/p/AF1QipNk0ZpFRMrY0auDB0jcdzd_jXuGX3Whihwe4oxr=w163-h92-k-no,Woodlands Sports Hall (ActiveSG),4,"Badminton 
Paid",4.0(49),Gym and Fitness Centre 
https://lh5.googleusercontent.com/p/AF1QipNwVwzDyVsvwIjgbbQKKkaawEQiLjC5XOGp4usK=w122-h92-k-no,Basketball Court,,Basketball (O),Playground ,Playground 
https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=FafcPQV8hplSSCymOLx_Hw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=6.6252265&pitch=0&thumbfov=100,Block 10 HDB Marsiling Basketball court,5,Basketball (O),5.0(1),Basketball court 
